date,week_start,channel,campaign_id,campaign_name,spend_usd,impressions,clicks
2025-04-01,2025-03-31,meta,cmp_8821,PLTV_Prospecting_US,358.4,124993,2078
2025-04-01,2025-03-31,meta,cmp_8822,Retargeting_Subscribers,3217.38,681698,15125
2025-04-01,2025-03-31,meta,cmp_8823,Lookalike_LTV90,2199.69,799262,12245
2025-04-01,2025-03-31,google,cmp_9001,Brand_Search_Exact,3448.77,875832,19035
2025-04-01,2025-03-31,google,cmp_9002,NonBrand_Wellness,2735.08,630151,13162
2025-04-01,2025-03-31,google,cmp_9003,PMax_DTC,4360.73,1073460,10807
2025-04-01,2025-03-31,tiktok,cmp_7701,TT_Spark_UGC,4019.17,1110138,12637
2025-04-01,2025-03-31,tiktok,cmp_7702,TT_Prospecting,1918.44,406835,3054
2025-04-02,2025-03-31,meta,cmp_8821,PLTV_Prospecting_US,4287.72,1428103,19801
2025-04-02,2025-03-31,meta,cmp_8822,Retargeting_Subscribers,1343.86,366359,2336
2025-04-02,2025-03-31,meta,cmp_8823,Lookalike_LTV90,3311.85,1257680,15691
2025-04-02,2025-03-31,google,cmp_9001,Brand_Search_Exact,4017.63,1075145,14383
2025-04-02,2025-03-31,google,cmp_9002,NonBrand_Wellness,3136.03,1022335,10513
2025-04-02,2025-03-31,google,cmp_9003,PMax_DTC,3736.55,920493,21940
2025-04-02,2025-03-31,tiktok,cmp_7701,TT_Spark_UGC,681.33,251189,3997
2025-04-02,2025-03-31,tiktok,cmp_7702,TT_Prospecting,1196.38,435836,4255
2025-04-03,2025-03-31,meta,cmp_8821,PLTV_Prospecting_US,3931.52,804731,11447
2025-04-03,2025-03-31,meta,cmp_8822,Retargeting_Subscribers,963.18,359737,7622
2025-04-03,2025-03-31,meta,cmp_8823,Lookalike_LTV90,2380.09,703343,6725
2025-04-03,2025-03-31,google,cmp_9001,Brand_Search_Exact,2747.42,759808,13050
2025-04-03,2025-03-31,google,cmp_9002,NonBrand_Wellness,971.29,245325,3929
2025-04-03,2025-03-31,google,cmp_9003,PMax_DTC,2800.71,691846,10160
2025-04-03,2025-03-31,tiktok,cmp_7701,TT_Spark_UGC,1875.82,681509,8536
2025-04-03,2025-03-31,tiktok,cmp_7702,TT_Prospecting,1097.08,329542,5097
2025-04-04,2025-03-31,meta,cmp_8821,PLTV_Prospecting_US,3573.08,1042295,21318
2025-04-04,2025-03-31,meta,cmp_8822,Retargeting_Subscribers,797.14,178151,3742
2025-04-04,2025-03-31,meta,cmp_8823,Lookalike_LTV90,2241.97,680788,15126
2025-04-04,2025-03-31,google,cmp_9001,Brand_Search_Exact,3558.21,839446,11466
2025-04-04,2025-03-31,google,cmp_9002,NonBrand_Wellness,375.57,103429,986
2025-04-04,2025-03-31,google,cmp_9003,PMax_DTC,2384.56,775424,3964
2025-04-04,2025-03-31,tiktok,cmp_7701,TT_Spark_UGC,1589.13,404194,2304
2025-04-04,2025-03-31,tiktok,cmp_7702,TT_Prospecting,1853.19,596893,10213
2025-04-05,2025-03-31,meta,cmp_8821,PLTV_Prospecting_US,1236.89,445181,9903
2025-04-05,2025-03-31,meta,cmp_8822,Retargeting_Subscribers,381.43,130098,2075
2025-04-05,2025-03-31,meta,cmp_8823,Lookalike_LTV90,3387.32,1068141,21584
2025-04-05,2025-03-31,google,cmp_9001,Brand_Search_Exact,1623.19,639368,8328
2025-04-05,2025-03-31,google,cmp_9002,NonBrand_Wellness,3999.76,1162439,27661
2025-04-05,2025-03-31,google,cmp_9003,PMax_DTC,4048.71,918113,12963
2025-04-05,2025-03-31,tiktok,cmp_7701,TT_Spark_UGC,464.83,115251,1865
2025-04-05,2025-03-31,tiktok,cmp_7702,TT_Prospecting,2022.45,801126,13476
2025-04-06,2025-03-31,meta,cmp_8821,PLTV_Prospecting_US,3223.09,1003608,5258
2025-04-06,2025-03-31,meta,cmp_8822,Retargeting_Subscribers,960.77,218549,2225
2025-04-06,2025-03-31,meta,cmp_8823,Lookalike_LTV90,580.93,142020,1165
2025-04-06,2025-03-31,google,cmp_9001,Brand_Search_Exact,510.55,164680,3704
2025-04-06,2025-03-31,google,cmp_9002,NonBrand_Wellness,4128.0,1451343,16205
2025-04-06,2025-03-31,google,cmp_9003,PMax_DTC,4235.1,967852,17116
2025-04-06,2025-03-31,tiktok,cmp_7701,TT_Spark_UGC,2275.05,459305,2335
2025-04-06,2025-03-31,tiktok,cmp_7702,TT_Prospecting,2838.01,571254,6292
2025-04-07,2025-04-07,meta,cmp_8821,PLTV_Prospecting_US,2101.15,462656,4947
2025-04-07,2025-04-07,meta,cmp_8822,Retargeting_Subscribers,658.6,181036,2596
2025-04-07,2025-04-07,meta,cmp_8823,Lookalike_LTV90,4182.43,1024030,23446
2025-04-07,2025-04-07,google,cmp_9001,Brand_Search_Exact,3966.33,1120254,24928
2025-04-07,2025-04-07,google,cmp_9002,NonBrand_Wellness,1159.77,241231,5924
2025-04-07,2025-04-07,google,cmp_9003,PMax_DTC,4069.95,878742,7943
2025-04-07,2025-04-07,tiktok,cmp_7701,TT_Spark_UGC,350.74,102615,991
2025-04-07,2025-04-07,tiktok,cmp_7702,TT_Prospecting,1775.34,421518,10336
2025-04-08,2025-04-07,meta,cmp_8821,PLTV_Prospecting_US,646.29,151291,1423
2025-04-08,2025-04-07,meta,cmp_8822,Retargeting_Subscribers,686.49,204057,2728
2025-04-08,2025-04-07,meta,cmp_8823,Lookalike_LTV90,745.99,280324,3729
2025-04-08,2025-04-07,google,cmp_9001,Brand_Search_Exact,4270.94,1628090,26066
2025-04-08,2025-04-07,google,cmp_9002,NonBrand_Wellness,3017.29,1070796,11944
2025-04-08,2025-04-07,google,cmp_9003,PMax_DTC,4374.81,1126239,24038
2025-04-08,2025-04-07,tiktok,cmp_7701,TT_Spark_UGC,2976.29,741793,8813
2025-04-08,2025-04-07,tiktok,cmp_7702,TT_Prospecting,4064.38,939331,6549
2025-04-09,2025-04-07,meta,cmp_8821,PLTV_Prospecting_US,1913.99,436673,8046
2025-04-09,2025-04-07,meta,cmp_8822,Retargeting_Subscribers,4461.87,1160925,24583
2025-04-09,2025-04-07,meta,cmp_8823,Lookalike_LTV90,3841.88,1395699,20817
2025-04-09,2025-04-07,google,cmp_9001,Brand_Search_Exact,4150.78,1618563,25150
2025-04-09,2025-04-07,google,cmp_9002,NonBrand_Wellness,4272.16,1683652,12883
2025-04-09,2025-04-07,google,cmp_9003,PMax_DTC,2298.08,712796,8615
2025-04-09,2025-04-07,tiktok,cmp_7701,TT_Spark_UGC,460.18,135026,1238
2025-04-09,2025-04-07,tiktok,cmp_7702,TT_Prospecting,1678.84,606852,10088
2025-04-10,2025-04-07,meta,cmp_8821,PLTV_Prospecting_US,4011.55,1283255,28671
2025-04-10,2025-04-07,meta,cmp_8822,Retargeting_Subscribers,2508.39,869191,4627
2025-04-10,2025-04-07,meta,cmp_8823,Lookalike_LTV90,2299.94,751663,8115
2025-04-10,2025-04-07,google,cmp_9001,Brand_Search_Exact,2142.08,850928,21203
